what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1336355941703
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1336355942000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356036406
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1336356036421
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1336356036421
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1336356044343
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1336356044406
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1336356044406
started,bundle,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor",1336356044609
started,bundle,org.maven.ide.eclipse.jdt,0.12.1.20110112-1712,"org.maven.ide.eclipse.jdt",1336356044625
started,bundle,org.maven.ide.eclipse.refactoring,0.12.1.20110112-1712,"org.maven.ide.eclipse.refactoring",1336356044687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356046156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356050265
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1336356050265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1336356050265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356053015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356058218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356064250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356101984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1336356101984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1336356101984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356105062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356178093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356183953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336356217015
